config_id,run_id,dataset,dataset_hydra,experiment,model,backbone,probe,probe_hydra,layer,layer_label,seed,source,status,objective_metric_name,primary_metric_name,train_primary,train_accuracy,val_primary,val_accuracy,test_primary,test_accuracy,n_epochs,expected_epochs,early_stopped,expected_early_stopping,artifact_train_eval_summary,artifact_probe_eval_dir,source_csv_path,source_csv_line_number,source_excel_workbook,source_excel_sheet,source_excel_range,notes
intphys2__same_l__videomae_v2__vit_large_16_224__linear__layer_24,intphys2__same_l__videomae_v2__vit_large_16_224__linear__layer_24__seed_42,IntPhys2,intphys2,same_L,VideoMAE-v2,ViT-L/16,Linear,linear,24,24,42,source_csv,complete,voe_accuracy,voe_accuracy,72.847682,85.264901,37.254902,58.823529,29.411765,53.921569,,2000,,false,,,results/verified_layerwise_probe_configs.csv,137,intphys_primary_db.xlsx,VideoMAE-v2,N6:X6,seed 42 read from source CSV metrics
intphys2__same_l__videomae_v2__vit_large_16_224__mlp__layer_6,intphys2__same_l__videomae_v2__vit_large_16_224__mlp__layer_6__seed_42,IntPhys2,intphys2,same_L,VideoMAE-v2,ViT-L/16,MLP,mlp,6,6,42,source_csv,complete,voe_accuracy,voe_accuracy,19.205298,49.834437,13.72549,52.45098,25.490196,50.490196,,1000,,false,,,results/verified_layerwise_probe_configs.csv,138,intphys_primary_db.xlsx,VideoMAE-v2,N7:X7,seed 42 read from source CSV metrics
intphys2__same_l__videomae_v2__vit_large_16_224__mlp__layer_12,intphys2__same_l__videomae_v2__vit_large_16_224__mlp__layer_12__seed_42,IntPhys2,intphys2,same_L,VideoMAE-v2,ViT-L/16,MLP,mlp,12,12,42,source_csv,complete,voe_accuracy,voe_accuracy,58.940397,77.317881,37.254902,60.294118,47.058824,55.392157,,2000,,false,,,results/verified_layerwise_probe_configs.csv,139,intphys_primary_db.xlsx,VideoMAE-v2,N8:X8,seed 42 read from source CSV metrics
intphys2__same_l__videomae_v2__vit_large_16_224__mlp__layer_18,intphys2__same_l__videomae_v2__vit_large_16_224__mlp__layer_18__seed_42,IntPhys2,intphys2,same_L,VideoMAE-v2,ViT-L/16,MLP,mlp,18,18,42,source_csv,complete,voe_accuracy,voe_accuracy,99.337748,96.02649,47.058824,62.745098,35.294118,61.27451,,2000,,false,,,results/verified_layerwise_probe_configs.csv,140,intphys_primary_db.xlsx,VideoMAE-v2,N9:X9,seed 42 read from source CSV metrics
intphys2__same_l__videomae_v2__vit_large_16_224__mlp__layer_24,intphys2__same_l__videomae_v2__vit_large_16_224__mlp__layer_24__seed_42,IntPhys2,intphys2,same_L,VideoMAE-v2,ViT-L/16,MLP,mlp,24,24,42,source_csv,complete,voe_accuracy,voe_accuracy,82.119205,80.794702,37.254902,59.803922,27.45098,57.352941,,50,,false,,,results/verified_layerwise_probe_configs.csv,141,intphys_primary_db.xlsx,VideoMAE-v2,N10:X10,seed 42 read from source CSV metrics
mvp__same_l__jepa_v1__vitl16_224__linear__layer_6,mvp__same_l__jepa_v1__vitl16_224__linear__layer_6__seed_42,MVP,mvp,same_L,V-JEPA,ViT-L/16,Linear,linear,6,6,42,source_csv,complete,pair_consistency,pair_consistency,49.106239,71.197302,42.163802,66.177958,40.647118,65.267947,,2000,,false,,,results/verified_layerwise_probe_configs.csv,326,mvp_primary_db.xlsx,V-JEPA,A3:K3,seed 42 read from source CSV metrics
mvp__same_l__jepa_v1__vitl16_224__linear__layer_12,mvp__same_l__jepa_v1__vitl16_224__linear__layer_12__seed_42,MVP,mvp,same_L,V-JEPA,ViT-L/16,Linear,linear,12,12,42,source_csv,complete,pair_consistency,pair_consistency,49.072513,70.994941,42.264914,66.481294,43.377149,66.936299,,2000,,false,,,results/verified_layerwise_probe_configs.csv,327,mvp_primary_db.xlsx,V-JEPA,A4:K4,seed 42 read from source CSV metrics
mvp__same_l__jepa_v1__vitl16_224__linear__layer_18,mvp__same_l__jepa_v1__vitl16_224__linear__layer_18__seed_42,MVP,mvp,same_L,V-JEPA,ViT-L/16,Linear,linear,18,18,42,source_csv,complete,pair_consistency,pair_consistency,59.359191,77.099494,49.747219,70.020222,47.017189,69.362993,,2000,,false,,,results/verified_layerwise_probe_configs.csv,328,mvp_primary_db.xlsx,V-JEPA,A5:K5,seed 42 read from source CSV metrics
mvp__same_l__jepa_v1__vitl16_224__linear__layer_24,mvp__same_l__jepa_v1__vitl16_224__linear__layer_24__seed_42,MVP,mvp,same_L,V-JEPA,ViT-L/16,Linear,linear,24,24,42,source_csv,complete,pair_consistency,pair_consistency,53.187184,73.322091,47.320526,69.413549,46.006067,68.705763,,2000,,false,,,results/verified_layerwise_probe_configs.csv,329,mvp_primary_db.xlsx,V-JEPA,A6:K6,seed 42 read from source CSV metrics
mvp__same_l__jepa_v1__vitl16_224__mlp__layer_6,mvp__same_l__jepa_v1__vitl16_224__mlp__layer_6__seed_42,MVP,mvp,same_L,V-JEPA,ViT-L/16,MLP,mlp,6,6,42,source_csv,complete,pair_consistency,pair_consistency,93.11973,96.526138,63.094034,79.676441,60.16178,77.957533,,2000,,false,,,results/verified_layerwise_probe_configs.csv,330,mvp_primary_db.xlsx,V-JEPA,A7:K7,seed 42 read from source CSV metrics
mvp__same_l__jepa_v1__vitl16_224__mlp__layer_12,mvp__same_l__jepa_v1__vitl16_224__mlp__layer_12__seed_42,MVP,mvp,same_L,V-JEPA,ViT-L/16,MLP,mlp,12,12,42,source_csv,complete,pair_consistency,pair_consistency,98.145025,99.072513,70.677452,83.872599,67.340748,81.547017,,2000,,false,,,results/verified_layerwise_probe_configs.csv,331,mvp_primary_db.xlsx,V-JEPA,A8:K8,seed 42 read from source CSV metrics
mvp__same_l__jepa_v1__vitl16_224__mlp__layer_18,mvp__same_l__jepa_v1__vitl16_224__mlp__layer_18__seed_42,MVP,mvp,same_L,V-JEPA,ViT-L/16,MLP,mlp,18,18,42,source_csv,complete,pair_consistency,pair_consistency,99.797639,99.89882,83.215369,91.001011,83.72093,91.152679,,2000,,false,,,results/verified_layerwise_probe_configs.csv,332,mvp_primary_db.xlsx,V-JEPA,A9:K9,seed 42 read from source CSV metrics
mvp__same_l__jepa_v1__vitl16_224__mlp__layer_24,mvp__same_l__jepa_v1__vitl16_224__mlp__layer_24__seed_42,MVP,mvp,same_L,V-JEPA,ViT-L/16,MLP,mlp,24,24,42,source_csv,complete,pair_consistency,pair_consistency,99.527825,99.763912,80.283114,89.737108,77.856421,88.0182,,2000,,false,,,results/verified_layerwise_probe_configs.csv,333,mvp_primary_db.xlsx,V-JEPA,A10:K10,seed 42 read from source CSV metrics
mvp__same_l__jepa_v2__vitl_256__linear__layer_6,mvp__same_l__jepa_v2__vitl_256__linear__layer_6__seed_42,MVP,mvp,same_L,V-JEPA 2,ViT-L/16,Linear,linear,6,6,42,source_csv,complete,pair_consistency,pair_consistency,44.148398,68.549747,37.815976,63.549039,35.28817,62.335693,,2000,,false,,,results/verified_layerwise_probe_configs.csv,350,mvp_primary_db.xlsx,V-JEPA 2,A3:K3,seed 42 read from source CSV metrics
mvp__same_l__jepa_v2__vitl_256__linear__layer_12,mvp__same_l__jepa_v2__vitl_256__linear__layer_12__seed_42,MVP,mvp,same_L,V-JEPA 2,ViT-L/16,Linear,linear,12,12,42,source_csv,complete,pair_consistency,pair_consistency,54.232715,73.490725,43.276036,67.138524,43.88271,66.936299,,2000,,false,,,results/verified_layerwise_probe_configs.csv,351,mvp_primary_db.xlsx,V-JEPA 2,A4:K4,seed 42 read from source CSV metrics
mvp__same_l__jepa_v2__vitl_256__linear__layer_18,mvp__same_l__jepa_v2__vitl_256__linear__layer_18__seed_42,MVP,mvp,same_L,V-JEPA 2,ViT-L/16,Linear,linear,18,18,42,source_csv,complete,pair_consistency,pair_consistency,58.448567,75.919056,52.072801,72.042467,49.241658,69.767442,,2000,,false,,,results/verified_layerwise_probe_configs.csv,352,mvp_primary_db.xlsx,V-JEPA 2,A5:K5,seed 42 read from source CSV metrics
mvp__same_l__jepa_v2__vitl_256__linear__layer_24,mvp__same_l__jepa_v2__vitl_256__linear__layer_24__seed_42,MVP,mvp,same_L,V-JEPA 2,ViT-L/16,Linear,linear,24,24,42,source_csv,complete,pair_consistency,pair_consistency,61.753794,77.639123,55.409505,73.407482,54.095046,72.952477,,2000,,false,,,results/verified_layerwise_probe_configs.csv,353,mvp_primary_db.xlsx,V-JEPA 2,A6:K6,seed 42 read from source CSV metrics
