dataset,experiment,model_label,backbone,probe,layer_key,n_seeds,seeds,seed_source,test_primary_mean,test_primary_std,test_accuracy_mean,test_accuracy_std,val_primary_mean,val_primary_std,val_accuracy_mean,val_accuracy_std
intphys2,ltx,LTX-13B,LTX-13B,linear,label:noise_0.9_block_24,3,"42,101,102",ready_manifest,24.18300653594771,4.934532310634479,52.77777777777777,1.1320593513522197,11.764705882352935,3.396178054056609,51.14379084967318,0.7487868782607958
intphys2,ltx,LTX-13B,LTX-13B,linear,label:noise_0.9_block_36,3,"42,101,102",ready_manifest,15.032679738562084,1.1320593513522004,52.28758169934638,1.5757599282668664,13.725490196078423,1.9607843137254797,54.41176470588235,1.6980890270283153
intphys2,ltx,LTX-13B,LTX-13B,linear,label:noise_0.9_block_48,3,"42,101,102",ready_manifest,13.071895424836587,2.2641187027044265,50.49019607843137,2.1367151684022883,20.915032679738534,1.1320593513521808,53.267973856209125,0.7487868782607199
intphys2,ltx,LTX-13B,LTX-13B,linear,label:noise_1.0_block_12,3,"42,101,102",ready_manifest,0.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0
intphys2,ltx,LTX-13B,LTX-13B,linear,label:noise_1.0_block_24,3,"42,101,102",ready_manifest,0.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0
intphys2,ltx,LTX-13B,LTX-13B,linear,label:noise_1.0_block_36,3,"42,101,102",ready_manifest,0.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0
intphys2,ltx,LTX-13B,LTX-13B,linear,label:noise_1.0_block_48,3,"42,101,102",ready_manifest,0.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0
intphys2,ltx,LTX-13B,LTX-13B,mlp,id:1,3,"42,101,102",ready_manifest,0.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0
intphys2,ltx,LTX-13B,LTX-13B,mlp,id:10,3,"42,101,102",ready_manifest,12.41830065359476,4.0816980381688825,50.490196078431374,1.296936917188527,8.496732026143784,6.303039713067278,51.470588235294095,0.9803921568627167
intphys2,ltx,LTX-13B,LTX-13B,mlp,id:11,3,"42,101,102",ready_manifest,20.26143790849673,1.1320593513522086,57.35294117647058,0.8490445135141628,20.261437908496703,2.2641187027043883,58.82352941176468,0.8490445135141279
intphys2,ltx,LTX-13B,LTX-13B,mlp,id:12,3,"42,101,102",ready_manifest,19.60784313725487,1.9607843137254442,50.490196078431374,1.470588235294123,10.457516339869276,6.3030397130672835,52.94117647058822,1.2969369171884906
intphys2,ltx,LTX-13B,LTX-13B,mlp,id:13,3,"42,101,102",ready_manifest,27.45098039215685,5.187747668754081,57.18954248366013,1.9811038648663633,18.300653594771237,1.1320593513522115,56.209150326797364,0.2830148378380939
intphys2,ltx,LTX-13B,LTX-13B,mlp,id:14,3,"42,101,102",ready_manifest,30.718954248366003,6.303039713067286,52.6143790849673,1.7215120511197306,15.032679738562063,7.423409602353251,54.24836601307188,0.7487868782607547
intphys2,ltx,LTX-13B,LTX-13B,mlp,id:15,3,"42,101,102",ready_manifest,33.33333333333332,1.960784313725478,59.31372549019605,1.7674270958157319,28.104575163398682,4.93453231063446,58.33333333333332,2.0511601988091347e-14
intphys2,ltx,LTX-13B,LTX-13B,mlp,id:16,3,"42,101,102",ready_manifest,21.568627450980394,5.1877476687541,50.980392156862735,1.7674270958156806,13.071895424836601,5.990295026086065,54.08496732026143,1.0204245095422364
intphys2,ltx,LTX-13B,LTX-13B,mlp,id:17,3,"42,101,102",ready_manifest,24.836601307189515,1.1320593513522546,57.51633986928103,1.2336330776586402,16.993464052287578,1.1320593513522044,56.53594771241828,0.748786878260788
intphys2,ltx,LTX-13B,LTX-13B,mlp,id:18,3,"42,101,102",ready_manifest,35.29411764705881,1.960784313725508,62.418300653594756,0.7487868782607261,28.10457516339868,1.1320593513521788,58.16993464052288,0.5660296756760976
intphys2,ltx,LTX-13B,LTX-13B,mlp,id:19,3,"42,101,102",ready_manifest,35.29411764705881,1.9607843137254939,54.901960784313715,1.7674270958156728,30.06535947712417,1.1320593513522197,58.82352941176468,0.8490445135141915
intphys2,ltx,LTX-13B,LTX-13B,mlp,id:2,3,"42,101,102",ready_manifest,0.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0
intphys2,ltx,LTX-13B,LTX-13B,mlp,id:20,3,"42,101,102",ready_manifest,31.372549019607828,1.9607843137254868,56.209150326797364,2.0408490190844177,18.95424836601304,2.9951475130429936,55.88235294117645,0.4901960784313708
intphys2,ltx,LTX-13B,LTX-13B,mlp,id:21,3,"42,101,102",ready_manifest,22.875816993464028,2.995147513043,52.45098039215686,0.9803921568627416,14.379084967320232,6.303039713067239,52.28758169934639,0.28301483783803033
intphys2,ltx,LTX-13B,LTX-13B,mlp,id:22,3,"42,101,102",ready_manifest,35.94771241830065,1.1320593513522157,54.73856209150326,1.497573756521522,31.37254901960783,1.9607843137254726,55.88235294117647,0.49019607843137436
intphys2,ltx,LTX-13B,LTX-13B,mlp,id:23,3,"42,101,102",ready_manifest,33.33333333333332,3.396178054056651,54.08496732026142,1.4975737565215521,29.41176470588234,1.9607843137254672,57.51633986928101,1.7215120511197322
intphys2,ltx,LTX-13B,LTX-13B,mlp,id:24,3,"42,101,102",ready_manifest,28.7581699346405,2.9951475130430723,60.62091503267973,0.5660296756761161,20.261437908496728,2.995147513043037,57.35294117647056,5.3330165169037506e-14
intphys2,ltx,LTX-13B,LTX-13B,mlp,id:25,3,"42,101,102",ready_manifest,15.032679738562083,2.2641187027044243,50.16339869281045,1.23363307765862,18.954248366013044,7.924415459465426,51.14379084967319,0.7487868782607695
intphys2,ltx,LTX-13B,LTX-13B,mlp,id:26,3,"42,101,102",ready_manifest,36.60130718954248,2.264118702704411,61.11111111111111,1.0204245095422178,36.60130718954248,2.264118702704411,62.09150326797384,0.2830148378380775
intphys2,ltx,LTX-13B,LTX-13B,mlp,id:27,3,"42,101,102",ready_manifest,36.601307189542474,2.9951475130430523,58.00653594771241,1.4975737565215381,24.183006535947687,1.1320593513521664,58.00653594771241,0.5660296756760955
intphys2,ltx,LTX-13B,LTX-13B,mlp,id:28,3,"42,101,102",ready_manifest,35.294117647058805,6.792356108113282,58.16993464052287,0.7487868782607571,18.954248366013072,1.1320593513522064,55.71895424836599,0.2830148378380283
intphys2,ltx,LTX-13B,LTX-13B,mlp,id:29,3,"42,101,102",ready_manifest,27.450980392156836,3.396178054056643,58.33333333333333,1.7674270958156668,17.647058823529413,1.9607843137254894,57.189542483660105,0.7487868782607501
intphys2,ltx,LTX-13B,LTX-13B,mlp,id:3,3,"42,101,102",ready_manifest,0.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0
intphys2,ltx,LTX-13B,LTX-13B,mlp,id:30,3,"42,101,102",ready_manifest,39.21568627450977,3.3961780540565916,53.59477124183006,1.8558524005883381,35.947712418300654,2.9951475130430323,54.5751633986928,0.5660296756760955
