dataset,experiment,model_label,backbone,probe,layer_key,layer,layer_label,config_id,manifest_seeds,expected_seeds,loaded_n_seeds,loaded_seeds,missing_loaded_seeds,loaded_seed_source,test_primary_mean,test_primary_std,status,manifest
intphys2,ltx,LTX-2B,LTX-2B,linear,id:15,15,noise_0.7_block_21,intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_15,"101,102","42,101,102",3,"42,101,102",,ready_manifest,12.418300653594772,4.081698038168888,OK,seed_manifest_intphys2_ltx2b_linear_mlp.csv
intphys2,ltx,LTX-2B,LTX-2B,linear,id:16,16,noise_0.7_block_28,intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_16,"101,102","42,101,102",3,"42,101,102",,ready_manifest,10.45751633986928,6.303039713067292,OK,seed_manifest_intphys2_ltx2b_linear_mlp.csv
intphys2,ltx,LTX-2B,LTX-2B,linear,id:17,17,noise_0.6_block_7,intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_17,"101,102","42,101,102",3,"42,101,102",,ready_manifest,16.33986928104575,1.1320593513522064,OK,seed_manifest_intphys2_ltx2b_linear_mlp.csv
intphys2,ltx,LTX-2B,LTX-2B,linear,id:18,18,noise_0.6_block_14,intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_18,"101,102","42,101,102",3,"42,101,102",,ready_manifest,16.33986928104575,1.132059351352209,OK,seed_manifest_intphys2_ltx2b_linear_mlp.csv
intphys2,ltx,LTX-2B,LTX-2B,linear,id:19,19,noise_0.6_block_21,intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_19,"101,102","42,101,102",3,"42,101,102",,ready_manifest,13.72549019607843,6.792356108113243,OK,seed_manifest_intphys2_ltx2b_linear_mlp.csv
intphys2,ltx,LTX-2B,LTX-2B,linear,id:2,2,noise_1.0_block_14,intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_2,"101,102","42,101,102",3,"42,101,102",,ready_manifest,0.0,0.0,OK,seed_manifest_intphys2_ltx2b_linear_mlp.csv
intphys2,ltx,LTX-2B,LTX-2B,linear,id:20,20,noise_0.6_block_28,intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_20,"101,102","42,101,102",3,"42,101,102",,ready_manifest,16.99346405228758,4.081698038168886,OK,seed_manifest_intphys2_ltx2b_linear_mlp.csv
intphys2,ltx,LTX-2B,LTX-2B,linear,id:21,21,noise_0.5_block_7,intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_21,"101,102","42,101,102",3,"42,101,102",,ready_manifest,12.418300653594772,2.9951475130430323,OK,seed_manifest_intphys2_ltx2b_linear_mlp.csv
intphys2,ltx,LTX-2B,LTX-2B,linear,id:22,22,noise_0.5_block_14,intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_22,"101,102","42,101,102",3,"42,101,102",,ready_manifest,17.647058823529413,5.187747668754099,OK,seed_manifest_intphys2_ltx2b_linear_mlp.csv
intphys2,ltx,LTX-2B,LTX-2B,linear,id:23,23,noise_0.5_block_21,intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_23,"101,102","42,101,102",3,"42,101,102",,ready_manifest,7.84313725490196,3.92156862745098,OK,seed_manifest_intphys2_ltx2b_linear_mlp.csv
