config_id,dataset,experiment,model,backbone,probe,layer,n_final_seeds,final_seeds,old_test_primary_mean,old_test_primary_std,final_test_primary_mean,final_test_primary_std,old_test_accuracy_mean,old_test_accuracy_std,final_test_accuracy_mean,final_test_accuracy_std,seed42_test_primary,seed101102_final_test_primary_mean,seed101102_final_minus_seed42,final_test_primary_values,old_test_primary_values,final_test_accuracy_values
intphys2__main__videomae_v2__vit_g_16__temporal_attn__layer_30,IntPhys2,main,VideoMAE-v2,ViT-G/16,Attentive,30,3,"42,101,102",30.07,7.42,52.94,16.75,50.49,0.98,65.36,12.44,35.29,61.76,26.47,"35.29,68.63,54.90","35.29,21.57,33.33","51.47,75.49,69.12"
intphys2__main__videomae_v2__vit_g_16__temporal_attn__layer_40,IntPhys2,main,VideoMAE-v2,ViT-G/16,Attentive,40,3,"42,101,102",37.25,3.40,41.18,7.84,51.63,1.42,53.59,1.58,41.18,41.18,0.00,"41.18,33.33,49.02","41.18,35.29,35.29","52.45,52.94,55.39"
intphys2__same_l__v_jepa__vit_l_16__temporal_attn__layer_6,IntPhys2,same_L,V-JEPA,ViT-L/16,Attentive,6,3,"42,101,102",13.73,3.40,15.03,1.13,51.31,2.87,50.00,2.25,15.69,14.71,-0.98,"15.69,15.69,13.73","15.69,15.69,9.80","52.45,49.51,48.04"
intphys2__same_l__v_jepa__vit_l_16__temporal_attn__layer_12,IntPhys2,same_L,V-JEPA,ViT-L/16,Attentive,12,3,"42,101,102",64.71,1.96,64.71,1.96,77.12,0.57,77.12,0.57,62.75,65.69,2.94,"62.75,64.71,66.67","62.75,64.71,66.67","77.45,77.45,76.47"
intphys2__same_l__v_jepa__vit_l_16__temporal_attn__layer_18,IntPhys2,same_L,V-JEPA,ViT-L/16,Attentive,18,3,"42,101,102",73.86,4.93,72.55,3.40,80.88,2.73,82.52,4.23,74.51,71.57,-2.94,"74.51,68.63,74.51","74.51,68.63,78.43","83.33,77.94,86.27"
intphys2__same_l__v_jepa__vit_l_16__temporal_attn__layer_24,IntPhys2,same_L,V-JEPA,ViT-L/16,Attentive,24,3,"42,101,102",60.13,4.93,58.17,6.30,75.00,8.62,75.33,4.96,60.78,56.86,-3.92,"60.78,50.98,62.75","60.78,54.90,64.71","78.43,69.61,77.94"
intphys2__same_l__v_jepa_2__vit_l_16__temporal_attn__layer_6,IntPhys2,same_L,V-JEPA 2,ViT-L/16,Attentive,6,3,"42,101,102",16.34,4.08,20.92,5.99,50.16,2.70,48.69,1.02,19.61,21.57,1.96,"19.61,15.69,27.45","19.61,11.76,17.65","47.55,49.02,49.51"
intphys2__same_l__v_jepa_2__vit_l_16__temporal_attn__layer_12,IntPhys2,same_L,V-JEPA 2,ViT-L/16,Attentive,12,3,"42,101,102",53.59,6.30,54.25,7.42,70.59,1.47,71.90,4.08,49.02,56.86,7.84,"49.02,50.98,62.75","49.02,50.98,60.78","70.59,68.63,76.47"
intphys2__same_l__v_jepa_2__vit_l_16__temporal_attn__layer_18,IntPhys2,same_L,V-JEPA 2,ViT-L/16,Attentive,18,3,"42,101,102",63.40,6.30,64.71,5.88,77.45,5.12,76.96,5.52,70.59,61.76,-8.82,"70.59,64.71,58.82","70.59,60.78,58.82","83.33,74.02,73.53"
intphys2__same_l__v_jepa_2__vit_l_16__temporal_attn__layer_24,IntPhys2,same_L,V-JEPA 2,ViT-L/16,Attentive,24,3,"42,101,102",62.09,3.00,60.78,3.40,72.71,1.72,73.69,3.26,64.71,58.82,-5.88,"64.71,58.82,58.82","64.71,58.82,62.75","74.51,76.47,70.10"
intphys2__same_l__v_jepa_2_1__vit_l_16__temporal_attn__layer_6,IntPhys2,same_L,V-JEPA 2.1,ViT-L/16,Attentive,6,3,"42,101,102",8.50,4.93,9.15,7.42,50.16,0.28,49.67,0.57,3.92,11.76,7.84,"3.92,17.65,5.88","3.92,7.84,13.73","50.00,49.02,50.00"
intphys2__same_l__v_jepa_2_1__vit_l_16__temporal_attn__layer_12,IntPhys2,same_L,V-JEPA 2.1,ViT-L/16,Attentive,12,3,"42,101,102",22.22,7.42,15.03,2.26,50.49,0.00,50.65,0.75,13.73,15.69,1.96,"13.73,13.73,17.65","13.73,27.45,25.49","50.49,50.00,51.47"
intphys2__same_l__v_jepa_2_1__vit_l_16__temporal_attn__layer_18,IntPhys2,same_L,V-JEPA 2.1,ViT-L/16,Attentive,18,3,"42,101,102",57.52,4.08,56.86,3.92,76.47,2.25,75.98,2.94,52.94,58.82,5.88,"52.94,56.86,60.78","52.94,58.82,60.78","75.98,73.04,78.92"
intphys2__same_l__v_jepa_2_1__vit_l_16__temporal_attn__layer_24,IntPhys2,same_L,V-JEPA 2.1,ViT-L/16,Attentive,24,3,"42,101,102",64.71,5.19,67.32,8.84,75.82,3.00,77.29,5.20,58.82,71.57,12.75,"58.82,76.47,66.67","58.82,68.63,66.67","72.55,82.84,76.47"
intphys2__same_l__videomae__vit_l_16__temporal_attn__layer_6,IntPhys2,same_L,VideoMAE,ViT-L/16,Attentive,6,3,"42,101,102",18.30,3.00,10.46,6.30,51.47,1.30,50.00,2.94,17.65,6.86,-10.78,"17.65,5.88,7.84","17.65,21.57,15.69","52.94,50.00,47.06"
intphys2__same_l__videomae__vit_l_16__temporal_attn__layer_12,IntPhys2,same_L,VideoMAE,ViT-L/16,Attentive,12,3,"42,101,102",9.80,8.99,2.61,4.53,47.71,3.71,48.20,2.70,7.84,0.00,-7.84,"7.84,0.00,0.00","7.84,1.96,19.61","45.10,49.51,50.00"
intphys2__same_l__videomae__vit_l_16__temporal_attn__layer_18,IntPhys2,same_L,VideoMAE,ViT-L/16,Attentive,18,3,"42,101,102",62.09,3.00,60.13,6.30,75.33,2.26,75.65,2.21,62.75,58.82,-3.92,"62.75,64.71,52.94","62.75,64.71,58.82","77.94,75.49,73.53"
intphys2__same_l__videomae__vit_l_16__temporal_attn__layer_24,IntPhys2,same_L,VideoMAE,ViT-L/16,Attentive,24,3,"42,101,102",58.17,11.98,69.93,4.08,67.65,14.96,78.27,2.83,68.63,70.59,1.96,"68.63,74.51,66.67","68.63,45.10,60.78","79.90,75.00,79.90"
intphys2__same_l__videomae_v2__vit_l_16__temporal_attn__layer_6,IntPhys2,same_L,VideoMAE-v2,ViT-L/16,Attentive,6,3,"42,101,102",4.58,3.00,5.88,5.19,49.02,1.47,49.67,0.57,7.84,4.90,-2.94,"7.84,0.00,9.80","7.84,1.96,3.92","49.02,50.00,50.00"
intphys2__same_l__videomae_v2__vit_l_16__temporal_attn__layer_12,IntPhys2,same_L,VideoMAE-v2,ViT-L/16,Attentive,12,3,"42,101,102",34.64,24.98,49.02,3.40,61.60,10.05,66.34,1.02,47.06,50.00,2.94,"47.06,52.94,47.06","47.06,5.88,50.98","67.16,66.67,65.20"
intphys2__same_l__videomae_v2__vit_l_16__temporal_attn__layer_18,IntPhys2,same_L,VideoMAE-v2,ViT-L/16,Attentive,18,3,"42,101,102",56.86,3.40,56.86,1.96,71.24,2.32,70.59,2.25,54.90,57.84,2.94,"54.90,58.82,56.86","54.90,60.78,54.90","73.04,68.63,70.10"
intphys2__same_l__videomae_v2__vit_l_16__temporal_attn__layer_24,IntPhys2,same_L,VideoMAE-v2,ViT-L/16,Attentive,24,3,"42,101,102",25.49,5.88,24.18,6.89,54.58,6.58,56.21,4.17,31.37,20.59,-10.78,"31.37,17.65,23.53","31.37,19.61,25.49","59.31,51.47,57.84"
