config_id,dataset,dataset_hydra,experiment,model,backbone,probe,probe_hydra,layer,layer_label,n_seeds,seeds,test_primary_mean,test_primary_std,test_accuracy_mean,test_accuracy_std,val_primary_mean,val_primary_std,val_accuracy_mean,val_accuracy_std,train_primary_mean,train_primary_std,train_accuracy_mean,train_accuracy_std,complete,missing_seeds,notes
mvp__jepa_v1__linear__layer_16,MVP,mvp,main,V-JEPA,ViT-H/16,Linear,linear,16,Layer 0.5,3,"42,101,102",39.973037,2.238976,65.942029,0.480505,38.355241,2.924108,65.200539,0.812576,44.047218,3.244267,68.802698,1.054873,true,,
mvp__jepa_v1__linear__layer_24,MVP,mvp,main,V-JEPA,ViT-H/16,Linear,linear,24,Layer 0.75,3,"42,101,102",47.52275,0.364565,69.261881,0.353893,48.500168,1.052409,69.312437,0.303337,53.164699,1.017596,73.237774,0.538838,true,,
mvp__jepa_v1__linear__layer_32,MVP,mvp,main,V-JEPA,ViT-H/16,Linear,linear,32,Final layer,3,"42,101,102",45.500506,4.755501,70.475227,1.290915,45.635322,4.086402,70.340411,1.184927,48.836425,5.463223,72.411467,1.943832,true,,
mvp__jepa_v1__linear__layer_8,MVP,mvp,main,V-JEPA,ViT-H/16,Linear,linear,8,Layer 0.25,3,"42,101,102",36.737445,0.116754,64.088305,0.12723,35.085945,0.99584,63.380519,0.304738,39.876335,0.224564,66.419337,0.30603,true,,
mvp__jepa_v1__mlp__layer_16,MVP,mvp,main,V-JEPA,ViT-H/16,MLP,mlp,16,Layer 0.5,3,"42,101,102",71.351534,1.272301,83.923154,0.267518,72.531176,0.556883,85.136501,0.182283,98.752108,0.441035,99.376054,0.220518,true,,
mvp__jepa_v1__mlp__layer_24,MVP,mvp,main,V-JEPA,ViT-H/16,MLP,mlp,24,Layer 0.75,3,"42,101,102",86.821706,0.058378,92.922144,0.133759,90.630266,0.154452,94.944388,0.050556,100,0,100,0,true,,
mvp__jepa_v1__mlp__layer_32,MVP,mvp,main,V-JEPA,ViT-H/16,MLP,mlp,32,Final layer,3,"42,101,102",87.731715,0.99755,93.410853,0.585957,90.933603,0.291886,95.180317,0.077226,99.865093,0.058416,99.932546,0.029208,true,,
mvp__jepa_v1__mlp__layer_8,MVP,mvp,main,V-JEPA,ViT-H/16,MLP,mlp,8,Layer 0.25,3,"42,101,102",58.914729,0.765609,76.828446,0.563725,60.936973,0.982056,78.193461,0.379452,91.354693,0.837983,95.649241,0.394402,true,,
mvp__jepa_v2_1__linear__layer_12,MVP,mvp,main,V-JEPA 2.1,ViT-Gigantic/16,Linear,linear,12,Layer 0.25,3,"42,101,102",31.951466,1.605107,61.391978,0.640156,33.771487,1.973632,63.06033,0.581579,37.223159,2.536098,65.536818,0.990405,true,,
mvp__jepa_v2_1__linear__layer_24,MVP,mvp,main,V-JEPA 2.1,ViT-Gigantic/16,Linear,linear,24,Layer 0.5,3,"42,101,102",39.400067,0.592463,65.065723,0.401277,41.287496,0.210482,66.27907,0.133759,46.936481,1.196391,70.59584,0.48768,true,,
mvp__jepa_v2_1__linear__layer_38,MVP,mvp,main,V-JEPA 2.1,ViT-Gigantic/16,Linear,linear,38,Layer 0.75,3,"42,101,102",43.208628,1.300122,67.087968,0.583041,44.118638,0.233509,67.475565,0.485795,50.140528,0.51075,72.152895,0.185752,true,,
mvp__jepa_v2_1__linear__layer_48,MVP,mvp,main,V-JEPA 2.1,ViT-Gigantic/16,Linear,linear,48,Final layer,3,"42,101,102",39.973037,1.567511,66.262218,0.379452,42.669363,2.029814,66.717223,0.45594,47.116357,2.174268,70.685779,0.783982,true,,
mvp__jepa_v2_1__mlp__layer_12,MVP,mvp,main,V-JEPA 2.1,ViT-Gigantic/16,MLP,mlp,12,Layer 0.25,3,"42,101,102",53.859117,1.167544,73.255814,0.331519,56.555443,0.74531,74.637681,0.154451,93.558179,1.234143,96.722878,0.642213,true,,
mvp__jepa_v2_1__mlp__layer_24,MVP,mvp,main,V-JEPA 2.1,ViT-Gigantic/16,MLP,mlp,24,Layer 0.5,3,"42,101,102",62.285137,0.76338,78.496798,0.259434,64.54331,0.420964,80.013482,0.25446,98.02136,0.478556,99.01068,0.239278,true,,
mvp__jepa_v2_1__mlp__layer_38,MVP,mvp,main,V-JEPA 2.1,ViT-Gigantic/16,MLP,mlp,38,Layer 0.75,3,"42,101,102",71.924503,1.280312,83.670374,0.663037,74.21638,0.525395,85.102797,0.249387,98.639685,0.764888,99.314221,0.37607,true,,
