run_set,config_id,run_id,experiment,dataset,model,backbone,probe,layer,seed,actual_epochs,target_epochs,remaining_epochs,early_stopped,best_epoch,elapsed_seconds,seconds_per_epoch,estimated_gpu_hours,estimated_sbu,probe_last
backbone_sweep_attentive,intphys2__backbone_sweep__videomae_v2__vit_b_16__temporal_attn__layer_9,intphys2__backbone_sweep__videomae_v2__vit_b_16__temporal_attn__layer_9__seed_102,backbone_sweep,IntPhys2,VideoMAE-v2,ViT-B/16,Attentive,9,102,48,90,42,True,28,839.547979,17.490583,0.204057,26.119,artifacts/probes/intphys2/seed_runs_layerwise_backbone_sweep_v1/intphys2__backbone_sweep__videomae_v2__vit_b_16__temporal_attn__layer_9/seed_102/layer_9/train/probe_last.pt
backbone_sweep_attentive,intphys2__backbone_sweep__videomae_v2__vit_b_16__temporal_attn__layer_12,intphys2__backbone_sweep__videomae_v2__vit_b_16__temporal_attn__layer_12__seed_101,backbone_sweep,IntPhys2,VideoMAE-v2,ViT-B/16,Attentive,12,101,41,90,49,True,21,721.229730,17.590969,0.239433,30.647,artifacts/probes/intphys2/seed_runs_layerwise_backbone_sweep_v1/intphys2__backbone_sweep__videomae_v2__vit_b_16__temporal_attn__layer_12/seed_101/layer_12/train/probe_last.pt
backbone_sweep_attentive,intphys2__backbone_sweep__videomae_v2__vit_b_16__temporal_attn__layer_12,intphys2__backbone_sweep__videomae_v2__vit_b_16__temporal_attn__layer_12__seed_102,backbone_sweep,IntPhys2,VideoMAE-v2,ViT-B/16,Attentive,12,102,60,90,30,True,40,1191.385309,19.856422,0.165470,21.180,artifacts/probes/intphys2/seed_runs_layerwise_backbone_sweep_v1/intphys2__backbone_sweep__videomae_v2__vit_b_16__temporal_attn__layer_12/seed_102/layer_12/train/probe_last.pt
backbone_sweep_attentive,mvp__backbone_sweep__jepa_v2_1__vitb_384__temporal_attn__layer_3,mvp__backbone_sweep__jepa_v2_1__vitb_384__temporal_attn__layer_3__seed_101,backbone_sweep,MVP,V-JEPA 2.1,ViT-B/16,Attentive,3,101,23,30,7,True,18,9546.443454,415.062759,0.807066,103.305,artifacts/probes/mvp/seed_runs_layerwise_backbone_sweep_v1/mvp__backbone_sweep__jepa_v2_1__vitb_384__temporal_attn__layer_3/seed_101/layer_3/train/probe_last.pt
backbone_sweep_attentive,mvp__backbone_sweep__jepa_v2_1__vitb_384__temporal_attn__layer_3,mvp__backbone_sweep__jepa_v2_1__vitb_384__temporal_attn__layer_3__seed_102,backbone_sweep,MVP,V-JEPA 2.1,ViT-B/16,Attentive,3,102,30,30,0,False,28,12478.587219,415.952907,0.000000,0.000,artifacts/probes/mvp/seed_runs_layerwise_backbone_sweep_v1/mvp__backbone_sweep__jepa_v2_1__vitb_384__temporal_attn__layer_3/seed_102/layer_3/train/probe_last.pt
backbone_sweep_attentive,mvp__backbone_sweep__jepa_v2_1__vitb_384__temporal_attn__layer_6,mvp__backbone_sweep__jepa_v2_1__vitb_384__temporal_attn__layer_6__seed_101,backbone_sweep,MVP,V-JEPA 2.1,ViT-B/16,Attentive,6,101,30,30,0,False,29,12509.394113,416.979804,0.000000,0.000,artifacts/probes/mvp/seed_runs_layerwise_backbone_sweep_v1/mvp__backbone_sweep__jepa_v2_1__vitb_384__temporal_attn__layer_6/seed_101/layer_6/train/probe_last.pt
backbone_sweep_attentive,mvp__backbone_sweep__jepa_v2_1__vitb_384__temporal_attn__layer_6,mvp__backbone_sweep__jepa_v2_1__vitb_384__temporal_attn__layer_6__seed_102,backbone_sweep,MVP,V-JEPA 2.1,ViT-B/16,Attentive,6,102,30,30,0,False,30,12858.307930,428.610264,0.000000,0.000,artifacts/probes/mvp/seed_runs_layerwise_backbone_sweep_v1/mvp__backbone_sweep__jepa_v2_1__vitb_384__temporal_attn__layer_6/seed_102/layer_6/train/probe_last.pt
backbone_sweep_attentive,mvp__backbone_sweep__jepa_v2_1__vitb_384__temporal_attn__layer_9,mvp__backbone_sweep__jepa_v2_1__vitb_384__temporal_attn__layer_9__seed_101,backbone_sweep,MVP,V-JEPA 2.1,ViT-B/16,Attentive,9,101,30,30,0,False,30,12717.236237,423.907875,0.000000,0.000,artifacts/probes/mvp/seed_runs_layerwise_backbone_sweep_v1/mvp__backbone_sweep__jepa_v2_1__vitb_384__temporal_attn__layer_9/seed_101/layer_9/train/probe_last.pt
backbone_sweep_attentive,mvp__backbone_sweep__jepa_v2_1__vitb_384__temporal_attn__layer_9,mvp__backbone_sweep__jepa_v2_1__vitb_384__temporal_attn__layer_9__seed_102,backbone_sweep,MVP,V-JEPA 2.1,ViT-B/16,Attentive,9,102,23,30,7,True,18,9452.758839,410.989515,0.799146,102.291,artifacts/probes/mvp/seed_runs_layerwise_backbone_sweep_v1/mvp__backbone_sweep__jepa_v2_1__vitb_384__temporal_attn__layer_9/seed_102/layer_9/train/probe_last.pt
backbone_sweep_attentive,mvp__backbone_sweep__jepa_v2_1__vitb_384__temporal_attn__layer_12,mvp__backbone_sweep__jepa_v2_1__vitb_384__temporal_attn__layer_12__seed_101,backbone_sweep,MVP,V-JEPA 2.1,ViT-B/16,Attentive,12,101,30,30,0,False,30,12453.793751,415.126458,0.000000,0.000,artifacts/probes/mvp/seed_runs_layerwise_backbone_sweep_v1/mvp__backbone_sweep__jepa_v2_1__vitb_384__temporal_attn__layer_12/seed_101/layer_12/train/probe_last.pt
backbone_sweep_attentive,mvp__backbone_sweep__jepa_v2_1__vitb_384__temporal_attn__layer_12,mvp__backbone_sweep__jepa_v2_1__vitb_384__temporal_attn__layer_12__seed_102,backbone_sweep,MVP,V-JEPA 2.1,ViT-B/16,Attentive,12,102,30,30,0,False,30,12469.077702,415.635923,0.000000,0.000,artifacts/probes/mvp/seed_runs_layerwise_backbone_sweep_v1/mvp__backbone_sweep__jepa_v2_1__vitb_384__temporal_attn__layer_12/seed_102/layer_12/train/probe_last.pt
backbone_sweep_attentive,mvp__backbone_sweep__jepa_v2_1__vitg_384__temporal_attn__layer_10,mvp__backbone_sweep__jepa_v2_1__vitg_384__temporal_attn__layer_10__seed_101,backbone_sweep,MVP,V-JEPA 2.1,ViT-G/16,Attentive,10,101,30,30,0,False,30,23646.733642,788.224455,0.000000,0.000,artifacts/probes/mvp/seed_runs_layerwise_backbone_sweep_v1/mvp__backbone_sweep__jepa_v2_1__vitg_384__temporal_attn__layer_10/seed_101/layer_10/train/probe_last.pt
backbone_sweep_attentive,mvp__backbone_sweep__jepa_v2_1__vitg_384__temporal_attn__layer_10,mvp__backbone_sweep__jepa_v2_1__vitg_384__temporal_attn__layer_10__seed_102,backbone_sweep,MVP,V-JEPA 2.1,ViT-G/16,Attentive,10,102,30,30,0,False,28,22854.191012,761.806367,0.000000,0.000,artifacts/probes/mvp/seed_runs_layerwise_backbone_sweep_v1/mvp__backbone_sweep__jepa_v2_1__vitg_384__temporal_attn__layer_10/seed_102/layer_10/train/probe_last.pt
backbone_sweep_attentive,mvp__backbone_sweep__jepa_v2_1__vitg_384__temporal_attn__layer_20,mvp__backbone_sweep__jepa_v2_1__vitg_384__temporal_attn__layer_20__seed_101,backbone_sweep,MVP,V-JEPA 2.1,ViT-G/16,Attentive,20,101,30,30,0,False,30,23564.126095,785.470870,0.000000,0.000,artifacts/probes/mvp/seed_runs_layerwise_backbone_sweep_v1/mvp__backbone_sweep__jepa_v2_1__vitg_384__temporal_attn__layer_20/seed_101/layer_20/train/probe_last.pt
backbone_sweep_attentive,mvp__backbone_sweep__jepa_v2_1__vitg_384__temporal_attn__layer_20,mvp__backbone_sweep__jepa_v2_1__vitg_384__temporal_attn__layer_20__seed_102,backbone_sweep,MVP,V-JEPA 2.1,ViT-G/16,Attentive,20,102,30,30,0,False,30,22936.422061,764.547402,0.000000,0.000,artifacts/probes/mvp/seed_runs_layerwise_backbone_sweep_v1/mvp__backbone_sweep__jepa_v2_1__vitg_384__temporal_attn__layer_20/seed_102/layer_20/train/probe_last.pt
backbone_sweep_attentive,mvp__backbone_sweep__jepa_v2_1__vitg_384__temporal_attn__layer_30,mvp__backbone_sweep__jepa_v2_1__vitg_384__temporal_attn__layer_30__seed_101,backbone_sweep,MVP,V-JEPA 2.1,ViT-G/16,Attentive,30,101,30,30,0,False,29,23133.130860,771.104362,0.000000,0.000,artifacts/probes/mvp/seed_runs_layerwise_backbone_sweep_v1/mvp__backbone_sweep__jepa_v2_1__vitg_384__temporal_attn__layer_30/seed_101/layer_30/train/probe_last.pt
backbone_sweep_attentive,mvp__backbone_sweep__jepa_v2_1__vitg_384__temporal_attn__layer_30,mvp__backbone_sweep__jepa_v2_1__vitg_384__temporal_attn__layer_30__seed_102,backbone_sweep,MVP,V-JEPA 2.1,ViT-G/16,Attentive,30,102,30,30,0,False,29,23210.959569,773.698652,0.000000,0.000,artifacts/probes/mvp/seed_runs_layerwise_backbone_sweep_v1/mvp__backbone_sweep__jepa_v2_1__vitg_384__temporal_attn__layer_30/seed_102/layer_30/train/probe_last.pt
backbone_sweep_attentive,mvp__backbone_sweep__jepa_v2_1__vitg_384__temporal_attn__layer_40,mvp__backbone_sweep__jepa_v2_1__vitg_384__temporal_attn__layer_40__seed_101,backbone_sweep,MVP,V-JEPA 2.1,ViT-G/16,Attentive,40,101,30,30,0,False,30,22536.052061,751.201735,0.000000,0.000,artifacts/probes/mvp/seed_runs_layerwise_backbone_sweep_v1/mvp__backbone_sweep__jepa_v2_1__vitg_384__temporal_attn__layer_40/seed_101/layer_40/train/probe_last.pt
backbone_sweep_attentive,mvp__backbone_sweep__jepa_v2_1__vitg_384__temporal_attn__layer_40,mvp__backbone_sweep__jepa_v2_1__vitg_384__temporal_attn__layer_40__seed_102,backbone_sweep,MVP,V-JEPA 2.1,ViT-G/16,Attentive,40,102,30,30,0,True,25,23337.641506,777.921384,0.000000,0.000,artifacts/probes/mvp/seed_runs_layerwise_backbone_sweep_v1/mvp__backbone_sweep__jepa_v2_1__vitg_384__temporal_attn__layer_40/seed_102/layer_40/train/probe_last.pt
backbone_sweep_attentive,mvp__backbone_sweep__videomae_v2__vit_base_16_224__temporal_attn__layer_3,mvp__backbone_sweep__videomae_v2__vit_base_16_224__temporal_attn__layer_3__seed_101,backbone_sweep,MVP,VideoMAE-v2,ViT-B/16,Attentive,3,101,30,30,0,True,25,5912.939650,197.097988,0.000000,0.000,artifacts/probes/mvp/seed_runs_layerwise_backbone_sweep_v1/mvp__backbone_sweep__videomae_v2__vit_base_16_224__temporal_attn__layer_3/seed_101/layer_3/train/probe_last.pt
backbone_sweep_attentive,mvp__backbone_sweep__videomae_v2__vit_base_16_224__temporal_attn__layer_3,mvp__backbone_sweep__videomae_v2__vit_base_16_224__temporal_attn__layer_3__seed_102,backbone_sweep,MVP,VideoMAE-v2,ViT-B/16,Attentive,3,102,30,30,0,False,30,5822.817921,194.093931,0.000000,0.000,artifacts/probes/mvp/seed_runs_layerwise_backbone_sweep_v1/mvp__backbone_sweep__videomae_v2__vit_base_16_224__temporal_attn__layer_3/seed_102/layer_3/train/probe_last.pt
