config_id,run_id,dataset,dataset_hydra,experiment,model,backbone,probe,probe_hydra,layer,layer_label,seed,source,status,objective_metric_name,primary_metric_name,train_primary,train_accuracy,val_primary,val_accuracy,test_primary,test_accuracy,n_epochs,expected_epochs,early_stopped,expected_early_stopping,artifact_train_eval_summary,artifact_probe_eval_dir,source_csv_path,source_csv_line_number,source_excel_workbook,source_excel_sheet,source_excel_range,notes
mvp__backbone_sweep__videomae_v2__vit_base_16_224__temporal_attn__layer_6,mvp__backbone_sweep__videomae_v2__vit_base_16_224__temporal_attn__layer_6__seed_42,MVP,mvp,backbone_sweep,VideoMAE-v2,ViT-B/16,Attentive,temporal_attn,6,6,42,source_csv,complete,pair_consistency,pair_consistency,87.015177,93.035413,74.21638,85.844287,73.710819,84.934277,,30,,true,,,results/verified_layerwise_probe_configs.csv,455,mvp_primary_db.xlsx,VideoMAE-v2,A12:K12,seed 42 read from source CSV metrics
mvp__backbone_sweep__videomae_v2__vit_base_16_224__temporal_attn__layer_9,mvp__backbone_sweep__videomae_v2__vit_base_16_224__temporal_attn__layer_9__seed_42,MVP,mvp,backbone_sweep,VideoMAE-v2,ViT-B/16,Attentive,temporal_attn,9,9,42,source_csv,complete,pair_consistency,pair_consistency,94.536256,97.166948,88.169869,93.377149,85.743175,92.214358,,30,,true,,,results/verified_layerwise_probe_configs.csv,456,mvp_primary_db.xlsx,VideoMAE-v2,A13:K13,seed 42 read from source CSV metrics
mvp__backbone_sweep__videomae_v2__vit_base_16_224__temporal_attn__layer_12,mvp__backbone_sweep__videomae_v2__vit_base_16_224__temporal_attn__layer_12__seed_42,MVP,mvp,backbone_sweep,VideoMAE-v2,ViT-B/16,Attentive,temporal_attn,12,12,42,source_csv,complete,pair_consistency,pair_consistency,94.671164,97.301855,75.631951,85.793731,75.12639,85.490394,,30,,true,,,results/verified_layerwise_probe_configs.csv,457,mvp_primary_db.xlsx,VideoMAE-v2,A14:K14,seed 42 read from source CSV metrics
intphys2__backbone_sweep__v_jepa_2_1__vit_b_16__temporal_attn__layer_3,intphys2__backbone_sweep__v_jepa_2_1__vit_b_16__temporal_attn__layer_3__seed_101,IntPhys2,intphys2,backbone_sweep,V-JEPA 2.1,ViT-B/16,Attentive,temporal_attn,3,3,101,artifact,complete,voe_accuracy,voe_accuracy,13.245033,50,7.843137,50.490196,7.843137,50,83,90,true,true,artifacts/probes/intphys2/seed_runs_layerwise_backbone_sweep_v1/intphys2__backbone_sweep__v_jepa_2_1__vit_b_16__temporal_attn__layer_3/seed_101/train_eval_summary.json,artifacts/probes/intphys2/seed_runs_layerwise_backbone_sweep_v1/intphys2__backbone_sweep__v_jepa_2_1__vit_b_16__temporal_attn__layer_3/seed_101/layer_3/eval,results/verified_layerwise_probe_configs.csv,58,,,,artifact metrics read from train_eval_summary.json
intphys2__backbone_sweep__v_jepa_2_1__vit_b_16__temporal_attn__layer_3,intphys2__backbone_sweep__v_jepa_2_1__vit_b_16__temporal_attn__layer_3__seed_102,IntPhys2,intphys2,backbone_sweep,V-JEPA 2.1,ViT-B/16,Attentive,temporal_attn,3,3,102,artifact,complete,voe_accuracy,voe_accuracy,19.205298,51.15894,13.72549,50.980392,23.529412,50.490196,48,90,true,true,artifacts/probes/intphys2/seed_runs_layerwise_backbone_sweep_v1/intphys2__backbone_sweep__v_jepa_2_1__vit_b_16__temporal_attn__layer_3/seed_102/train_eval_summary.json,artifacts/probes/intphys2/seed_runs_layerwise_backbone_sweep_v1/intphys2__backbone_sweep__v_jepa_2_1__vit_b_16__temporal_attn__layer_3/seed_102/layer_3/eval,results/verified_layerwise_probe_configs.csv,58,,,,artifact metrics read from train_eval_summary.json
intphys2__backbone_sweep__v_jepa_2_1__vit_b_16__temporal_attn__layer_6,intphys2__backbone_sweep__v_jepa_2_1__vit_b_16__temporal_attn__layer_6__seed_101,IntPhys2,intphys2,backbone_sweep,V-JEPA 2.1,ViT-B/16,Attentive,temporal_attn,6,6,101,artifact,complete,voe_accuracy,voe_accuracy,14.569536,49.834437,17.647059,50.490196,19.607843,50,21,90,true,true,artifacts/probes/intphys2/seed_runs_layerwise_backbone_sweep_v1/intphys2__backbone_sweep__v_jepa_2_1__vit_b_16__temporal_attn__layer_6/seed_101/train_eval_summary.json,artifacts/probes/intphys2/seed_runs_layerwise_backbone_sweep_v1/intphys2__backbone_sweep__v_jepa_2_1__vit_b_16__temporal_attn__layer_6/seed_101/layer_6/eval,results/verified_layerwise_probe_configs.csv,59,,,,artifact metrics read from train_eval_summary.json
intphys2__backbone_sweep__v_jepa_2_1__vit_b_16__temporal_attn__layer_6,intphys2__backbone_sweep__v_jepa_2_1__vit_b_16__temporal_attn__layer_6__seed_102,IntPhys2,intphys2,backbone_sweep,V-JEPA 2.1,ViT-B/16,Attentive,temporal_attn,6,6,102,artifact,complete,voe_accuracy,voe_accuracy,24.503311,49.668874,15.686275,51.470588,13.72549,49.019608,48,90,true,true,artifacts/probes/intphys2/seed_runs_layerwise_backbone_sweep_v1/intphys2__backbone_sweep__v_jepa_2_1__vit_b_16__temporal_attn__layer_6/seed_102/train_eval_summary.json,artifacts/probes/intphys2/seed_runs_layerwise_backbone_sweep_v1/intphys2__backbone_sweep__v_jepa_2_1__vit_b_16__temporal_attn__layer_6/seed_102/layer_6/eval,results/verified_layerwise_probe_configs.csv,59,,,,artifact metrics read from train_eval_summary.json
intphys2__backbone_sweep__v_jepa_2_1__vit_b_16__temporal_attn__layer_9,intphys2__backbone_sweep__v_jepa_2_1__vit_b_16__temporal_attn__layer_9__seed_101,IntPhys2,intphys2,backbone_sweep,V-JEPA 2.1,ViT-B/16,Attentive,temporal_attn,9,9,101,artifact,complete,voe_accuracy,voe_accuracy,23.84106,50.496689,13.72549,52.45098,13.72549,50,25,90,true,true,artifacts/probes/intphys2/seed_runs_layerwise_backbone_sweep_v1/intphys2__backbone_sweep__v_jepa_2_1__vit_b_16__temporal_attn__layer_9/seed_101/train_eval_summary.json,artifacts/probes/intphys2/seed_runs_layerwise_backbone_sweep_v1/intphys2__backbone_sweep__v_jepa_2_1__vit_b_16__temporal_attn__layer_9/seed_101/layer_9/eval,results/verified_layerwise_probe_configs.csv,60,,,,artifact metrics read from train_eval_summary.json
intphys2__backbone_sweep__v_jepa_2_1__vit_b_16__temporal_attn__layer_9,intphys2__backbone_sweep__v_jepa_2_1__vit_b_16__temporal_attn__layer_9__seed_102,IntPhys2,intphys2,backbone_sweep,V-JEPA 2.1,ViT-B/16,Attentive,temporal_attn,9,9,102,artifact,complete,voe_accuracy,voe_accuracy,34.437086,50.827815,29.411765,51.470588,23.529412,49.509804,32,90,true,true,artifacts/probes/intphys2/seed_runs_layerwise_backbone_sweep_v1/intphys2__backbone_sweep__v_jepa_2_1__vit_b_16__temporal_attn__layer_9/seed_102/train_eval_summary.json,artifacts/probes/intphys2/seed_runs_layerwise_backbone_sweep_v1/intphys2__backbone_sweep__v_jepa_2_1__vit_b_16__temporal_attn__layer_9/seed_102/layer_9/eval,results/verified_layerwise_probe_configs.csv,60,,,,artifact metrics read from train_eval_summary.json
intphys2__backbone_sweep__v_jepa_2_1__vit_b_16__temporal_attn__layer_12,intphys2__backbone_sweep__v_jepa_2_1__vit_b_16__temporal_attn__layer_12__seed_101,IntPhys2,intphys2,backbone_sweep,V-JEPA 2.1,ViT-B/16,Attentive,temporal_attn,12,12,101,artifact,complete,voe_accuracy,voe_accuracy,74.834437,83.609272,64.705882,74.509804,56.862745,71.568627,58,90,true,true,artifacts/probes/intphys2/seed_runs_layerwise_backbone_sweep_v1/intphys2__backbone_sweep__v_jepa_2_1__vit_b_16__temporal_attn__layer_12/seed_101/train_eval_summary.json,artifacts/probes/intphys2/seed_runs_layerwise_backbone_sweep_v1/intphys2__backbone_sweep__v_jepa_2_1__vit_b_16__temporal_attn__layer_12/seed_101/layer_12/eval,results/verified_layerwise_probe_configs.csv,61,,,,artifact metrics read from train_eval_summary.json
