run_set,source_summary_csv,config_id,run_id,dataset,dataset_hydra,experiment,model,backbone,probe,probe_hydra,layer,layer_label,seed,source,status,objective_metric_name,primary_metric_name,train_primary,train_accuracy,val_primary,val_accuracy,test_primary,test_accuracy,n_epochs,expected_epochs,early_stopped,expected_early_stopping,artifact_train_eval_summary,artifact_probe_eval_dir,source_csv_path,source_csv_line_number,source_excel_workbook,source_excel_sheet,source_excel_range,notes
main_linear_mlp,results/seed_runs/layerwise_seed_results_long.csv,intphys2__jepa_v2_1__mlp__layer_12,intphys2__jepa_v2_1__mlp__layer_12__seed_42,IntPhys2,intphys2,main,V-JEPA 2.1,ViT-Gigantic/16,MLP,mlp,12,Layer 0.25,42,source_csv,complete,voe_accuracy,voe_accuracy,88.07947,87.913907,27.45098,58.333333,25.490196,56.862745,,2000,,true,,,results/verified_layerwise_probe_configs.csv,91,intphys_primary_db.xlsx,V-JEPA 2.1,AN8:AX8,seed 42 read from source CSV metrics
main_linear_mlp,results/seed_runs/layerwise_seed_results_long.csv,intphys2__jepa_v2_1__mlp__layer_24,intphys2__jepa_v2_1__mlp__layer_24__seed_42,IntPhys2,intphys2,main,V-JEPA 2.1,ViT-Gigantic/16,MLP,mlp,24,Layer 0.5,42,source_csv,complete,voe_accuracy,voe_accuracy,32.450331,53.642384,31.372549,54.901961,19.607843,56.862745,,50,,true,,,results/verified_layerwise_probe_configs.csv,92,intphys_primary_db.xlsx,V-JEPA 2.1,AN9:AX9,seed 42 read from source CSV metrics
main_linear_mlp,results/seed_runs/layerwise_seed_results_long.csv,intphys2__jepa_v2_1__mlp__layer_38,intphys2__jepa_v2_1__mlp__layer_38__seed_42,IntPhys2,intphys2,main,V-JEPA 2.1,ViT-Gigantic/16,MLP,mlp,38,Layer 0.75,42,source_csv,complete,voe_accuracy,voe_accuracy,100,99.337748,45.098039,61.764706,39.215686,57.352941,,2000,,true,,,results/verified_layerwise_probe_configs.csv,93,intphys_primary_db.xlsx,V-JEPA 2.1,AN10:AX10,seed 42 read from source CSV metrics
main_linear_mlp,results/seed_runs/layerwise_seed_results_long.csv,intphys2__videomae__linear__layer_32,intphys2__videomae__linear__layer_32__seed_42,IntPhys2,intphys2,main,VideoMAE,ViT-H/16,Linear,linear,32,Final layer,42,source_csv,complete,voe_accuracy,voe_accuracy,62.251656,66.059603,31.372549,57.352941,31.372549,54.901961,,1000,,true,,,results/verified_layerwise_probe_configs.csv,110,intphys_primary_db.xlsx,VideoMAE,N3:X3,seed 42 read from source CSV metrics
main_linear_mlp,results/seed_runs/layerwise_seed_results_long.csv,intphys2__videomae__linear__layer_8,intphys2__videomae__linear__layer_8__seed_42,IntPhys2,intphys2,main,VideoMAE,ViT-H/16,Linear,linear,8,Layer 0.25,42,source_csv,complete,voe_accuracy,voe_accuracy,15.89404,48.013245,19.607843,52.45098,13.72549,50,,50,,true,,,results/verified_layerwise_probe_configs.csv,111,intphys_primary_db.xlsx,VideoMAE,N4:X4,seed 42 read from source CSV metrics
main_linear_mlp,results/seed_runs/layerwise_seed_results_long.csv,intphys2__videomae__linear__layer_16,intphys2__videomae__linear__layer_16__seed_42,IntPhys2,intphys2,main,VideoMAE,ViT-H/16,Linear,linear,16,Layer 0.5,42,source_csv,complete,voe_accuracy,voe_accuracy,50.993377,65.728477,41.176471,60.784314,35.294118,58.333333,,2000,,true,,,results/verified_layerwise_probe_configs.csv,112,intphys_primary_db.xlsx,VideoMAE,N5:X5,seed 42 read from source CSV metrics
main_linear_mlp,results/seed_runs/layerwise_seed_results_long.csv,intphys2__videomae__linear__layer_24,intphys2__videomae__linear__layer_24__seed_42,IntPhys2,intphys2,main,VideoMAE,ViT-H/16,Linear,linear,24,Layer 0.75,42,source_csv,complete,voe_accuracy,voe_accuracy,54.966887,66.059603,39.215686,61.27451,35.294118,56.372549,,500,,true,,,results/verified_layerwise_probe_configs.csv,113,intphys_primary_db.xlsx,VideoMAE,N6:X6,seed 42 read from source CSV metrics
main_linear_mlp,results/seed_runs/layerwise_seed_results_long.csv,intphys2__videomae__mlp__layer_32,intphys2__videomae__mlp__layer_32__seed_42,IntPhys2,intphys2,main,VideoMAE,ViT-H/16,MLP,mlp,32,Final layer,42,source_csv,complete,voe_accuracy,voe_accuracy,73.509934,74.172185,29.411765,58.333333,29.411765,53.921569,,2000,,true,,,results/verified_layerwise_probe_configs.csv,114,intphys_primary_db.xlsx,VideoMAE,N7:X7,seed 42 read from source CSV metrics
main_linear_mlp,results/seed_runs/layerwise_seed_results_long.csv,intphys2__videomae__mlp__layer_8,intphys2__videomae__mlp__layer_8__seed_42,IntPhys2,intphys2,main,VideoMAE,ViT-H/16,MLP,mlp,8,Layer 0.25,42,source_csv,complete,voe_accuracy,voe_accuracy,21.192053,49.834437,15.686275,51.470588,17.647059,50.980392,,20,,true,,,results/verified_layerwise_probe_configs.csv,115,intphys_primary_db.xlsx,VideoMAE,N8:X8,seed 42 read from source CSV metrics
main_linear_mlp,results/seed_runs/layerwise_seed_results_long.csv,intphys2__videomae__mlp__layer_16,intphys2__videomae__mlp__layer_16__seed_42,IntPhys2,intphys2,main,VideoMAE,ViT-H/16,MLP,mlp,16,Layer 0.5,42,source_csv,complete,voe_accuracy,voe_accuracy,45.033113,51.490066,35.294118,53.921569,33.333333,51.960784,,50,,true,,,results/verified_layerwise_probe_configs.csv,116,intphys_primary_db.xlsx,VideoMAE,N9:X9,seed 42 read from source CSV metrics
